feature,importance
Component3_Property6,838
Component5_fraction,835
Component1_Property6,726
Component2_fraction,714
Property6_mean,653
Component4_Property6,624
Component3_fraction,615
Component2_Property6,531
Component1_fraction,531
Component4_fraction,451
Component5_Property6,348
Property6_std,325
Property6_min,257
Property6_max,242
Component3_Property1,141
Component1_Property2,135
Component4_Property5,130
Component2_Property1,128
Component4_Property10,125
Component5_Property7,123
Component3_Property4,123
Component5_Property9,120
Component3_Property9,118
Component2_Property3,114
Component2_Property9,114
Component4_Property8,114
Component5_Property10,110
Component1_Property4,110
Component5_Property1,110
Property2_min,108
Property9_max,108
Component2_Property7,106
Component4_Property9,105
Component2_Property8,105
Component1_Property1,104
Component4_Property7,104
Property2_max,102
Component1_Property3,101
Component3_Property10,100
Property5_mean,99
Component3_Property8,99
Component1_Property10,99
Property3_std,97
Component5_Property2,97
Component2_Property4,97
Property1_max,96
Component5_Property3,93
Component1_Property9,93
Property3_mean,92
Component3_Property7,92
Component3_Property2,92
Component2_Property2,91
Component1_Property5,90
Component4_Property2,90
Component3_Property5,89
Property7_min,89
Property7_std,89
Property1_mean,88
Property2_mean,88
Component4_Property4,88
Property5_std,86
Property4_std,84
Property5_min,84
Property9_std,83
Component4_Property1,82
Property10_mean,82
Property5_max,82
Component5_Property5,81
Property8_max,81
Property1_min,81
Property9_min,81
Component5_Property8,79
Component2_Property5,78
Component5_Property4,77
Property7_mean,76
Property10_std,74
Property8_std,73
Property8_min,72
Component1_Property7,68
Property4_max,68
Component3_Property3,67
Property1_std,67
Component2_Property10,66
Property3_max,66
Property10_max,65
Component4_Property3,64
Property2_std,64
Property7_max,64
Property9_mean,63
Property4_min,61
Property10_min,60
Component1_Property8,59
Property3_min,57
Property8_mean,56
Property4_mean,53
