feature,importance
Component5_fraction,1232
Component4_fraction,811
Component4_Property2,723
Component3_Property2,720
Component2_fraction,689
Property2_mean,628
Component1_fraction,609
Component3_fraction,567
Component1_Property2,548
Component5_Property2,505
Component2_Property2,373
Property2_min,251
Property2_std,250
Property2_max,247
Property4_std,142
Component1_Property4,132
Property7_std,131
Component2_Property7,128
Component3_Property7,121
Property9_std,120
Property5_min,119
Property3_mean,118
Component1_Property10,115
Property1_min,112
Component3_Property8,111
Property1_std,109
Property4_max,108
Property8_std,107
Component3_Property6,107
Property1_mean,106
Component4_Property7,105
Component2_Property5,103
Component5_Property7,101
Component2_Property10,98
Component2_Property1,97
Property5_max,95
Component1_Property7,95
Component5_Property6,95
Component4_Property6,95
Component3_Property4,94
Component1_Property1,91
Component1_Property8,91
Property5_mean,91
Component5_Property4,91
Property10_max,90
Property4_min,90
Component3_Property1,89
Component2_Property9,89
Component1_Property3,88
Component5_Property5,88
Property3_max,87
Property10_std,86
Component3_Property5,86
Component4_Property3,85
Component5_Property9,84
Component3_Property10,83
Property1_max,83
Component5_Property3,82
Component4_Property9,81
Property5_std,81
Component2_Property8,80
Property6_std,79
Property8_mean,78
Property6_max,78
Property6_min,77
Component4_Property1,75
Property7_min,75
Component4_Property8,75
Component3_Property9,74
Property4_mean,74
Component2_Property6,73
Component2_Property4,70
Component5_Property10,69
Component4_Property5,69
Component2_Property3,69
Component1_Property5,68
Property7_mean,68
Property7_max,67
Component1_Property9,66
Property3_min,65
Component5_Property8,64
Component1_Property6,64
Component4_Property4,61
Component5_Property1,59
Property8_min,56
Property6_mean,55
Property10_mean,54
Property10_min,53
Component4_Property10,52
Property9_min,52
Property9_max,51
Component3_Property3,50
Property3_std,49
Property8_max,42
Property9_mean,36
