feature,importance
Component5_fraction,988
Component4_Property9,803
Component5_Property8,690
Component4_fraction,575
Component3_Property6,527
Component3_Property9,505
Component3_fraction,467
Component2_fraction,423
Component5_Property9,369
Component1_fraction,326
Component1_Property6,310
Component4_Property8,299
Component4_Property6,295
Property9_mean,250
Component1_Property9,230
Property9_max,209
Property6_min,202
Component2_Property9,182
Component1_Property8,165
Component2_Property6,159
Property9_std,142
Component1_Property1,139
Component2_Property7,137
Component1_Property3,132
Component2_Property10,131
Property6_std,128
Component2_Property4,126
Component4_Property5,121
Component3_Property1,120
Property3_max,119
Component1_Property10,117
Component2_Property8,113
Property5_std,113
Component2_Property5,113
Property8_min,110
Property10_std,109
Property1_min,108
Component4_Property7,108
Property6_mean,107
Property7_std,107
Component1_Property7,107
Component5_Property4,104
Property9_min,104
Property5_mean,103
Property8_mean,102
Component5_Property6,102
Property2_std,102
Property8_std,99
Component4_Property3,99
Component4_Property1,98
Property2_min,98
Component3_Property10,98
Component3_Property5,97
Component1_Property4,96
Component2_Property1,95
Component5_Property5,94
Component5_Property7,94
Property1_std,93
Component1_Property5,93
Property5_min,92
Component4_Property10,90
Component5_Property10,89
Component3_Property8,88
Property10_mean,87
Property8_max,86
Component5_Property2,85
Component4_Property4,85
Property3_min,85
Property4_max,84
Property10_min,83
Component3_Property7,83
Component3_Property4,83
Property6_max,82
Property4_min,81
Property4_mean,79
Component1_Property2,79
Component2_Property3,78
Component2_Property2,78
Component3_Property3,75
Property3_std,75
Property5_max,75
Property3_mean,75
Property2_mean,75
Property7_min,75
Property1_max,73
Component5_Property3,73
Component3_Property2,73
Property4_std,71
Property10_max,67
Property7_mean,65
Property2_max,65
Component4_Property2,58
Property7_max,56
Property1_mean,53
Component5_Property1,47
