feature,importance
Component5_fraction,1057
Component3_Property4,910
Component2_fraction,734
Component4_fraction,707
Component1_Property4,616
Component1_fraction,609
Property4_mean,571
Component4_Property4,561
Component3_fraction,538
Component2_Property4,469
Component5_Property4,302
Property4_min,233
Property4_std,232
Property4_max,213
Component2_Property3,174
Component4_Property2,156
Component3_Property10,154
Component1_Property8,130
Property7_min,130
Component2_Property7,127
Component5_Property8,126
Component3_Property5,125
Component3_Property3,118
Component3_Property8,116
Component1_Property2,115
Property9_mean,114
Property8_std,113
Component3_Property9,113
Component1_Property1,111
Component2_Property5,109
Component1_Property6,108
Component2_Property2,105
Component4_Property9,104
Component1_Property9,104
Component2_Property9,104
Component3_Property1,103
Component4_Property3,103
Component1_Property10,102
Component2_Property1,101
Property6_std,100
Property1_mean,99
Component3_Property6,96
Component4_Property1,95
Property5_std,95
Property10_min,95
Component4_Property10,94
Property10_max,94
Component4_Property7,93
Property1_min,93
Component4_Property5,92
Property9_min,91
Property1_std,90
Component4_Property8,90
Property8_mean,90
Component5_Property10,88
Component1_Property7,87
Property2_min,86
Component5_Property7,86
Component3_Property7,86
Component3_Property2,86
Component2_Property6,85
Component5_Property9,84
Component2_Property10,83
Property10_std,82
Component5_Property5,81
Property9_max,81
Property1_max,81
Component1_Property5,80
Component5_Property6,79
Component2_Property8,79
Property2_std,76
Property9_std,76
Property8_min,75
Component1_Property3,75
Property6_mean,73
Property5_max,73
Property2_max,71
Component5_Property2,71
Property7_std,71
Component4_Property6,70
Property8_max,66
Property6_min,63
Component5_Property1,62
Property3_min,59
Property5_min,56
Property3_max,54
Property2_mean,53
Property7_mean,53
Component5_Property3,52
Property3_std,52
Property10_mean,51
Property3_mean,50
Property5_mean,50
Property6_max,47
Property7_max,43
