feature,importance
Component5_fraction,1188
Component4_fraction,1128
Component3_Property10,881
Component2_fraction,700
Component1_Property10,578
Property10_mean,575
Component1_fraction,474
Component3_fraction,447
Component4_Property10,329
Component2_Property10,313
Component5_Property10,267
Property10_max,198
Property10_min,164
Property10_std,159
Component4_Property1,152
Component3_Property2,150
Component1_Property7,143
Component4_Property2,139
Component5_Property4,133
Component3_Property1,131
Property5_min,125
Component5_Property1,125
Component4_Property3,122
Component3_Property4,118
Component2_Property7,117
Component3_Property6,117
Component3_Property9,116
Property3_std,115
Component2_Property5,114
Component2_Property9,112
Component1_Property4,111
Property7_min,111
Property5_max,110
Component1_Property3,109
Component2_Property8,108
Property5_mean,108
Property6_max,108
Component3_Property3,107
Component4_Property7,105
Property6_std,102
Component2_Property1,101
Component5_Property7,101
Property1_mean,100
Component1_Property1,100
Component2_Property2,100
Component4_Property5,100
Property2_min,99
Component5_Property8,98
Property2_max,97
Property5_std,96
Component1_Property8,94
Property8_max,94
Component1_Property2,93
Component3_Property7,92
Component1_Property9,92
Property7_std,92
Property8_mean,91
Property7_mean,91
Property1_min,91
Property3_mean,90
Component5_Property6,89
Property9_std,89
Component2_Property4,87
Property4_mean,87
Component1_Property5,86
Component2_Property3,86
Property8_std,83
Property1_std,82
Component3_Property5,82
Property9_max,81
Component5_Property5,80
Component2_Property6,80
Component3_Property8,79
Component1_Property6,79
Property8_min,78
Component5_Property3,75
Property4_std,75
Property3_min,73
Component5_Property2,72
Property9_mean,72
Component4_Property8,71
Property2_std,69
Property4_max,69
Component4_Property6,69
Property1_max,68
Property3_max,66
Component4_Property4,65
Property2_mean,65
Property6_mean,63
Property7_max,63
Property9_min,62
Property6_min,60
Component4_Property9,60
Property4_min,60
Component5_Property9,54
