feature,importance
Component1_Property7,795
Component2_fraction,747
Component1_fraction,662
Component4_Property5,578
Component4_fraction,567
Component2_Property8,544
Component3_Property7,533
Component2_Property7,524
Component5_fraction,457
Component4_Property7,396
Property7_mean,302
Property7_min,271
Component5_Property7,260
Component3_Property5,259
Component1_Property8,252
Component3_fraction,241
Property5_mean,170
Property7_std,161
Component4_Property4,145
Component1_Property5,141
Property3_max,138
Component4_Property8,137
Property8_mean,134
Property3_mean,132
Property8_max,127
Component5_Property6,125
Component5_Property5,122
Property2_min,122
Component5_Property4,120
Component2_Property10,118
Property3_std,115
Property5_min,114
Component1_Property3,113
Component2_Property3,110
Component2_Property9,110
Component4_Property10,109
Property8_min,108
Property5_max,106
Component1_Property6,106
Component3_Property1,103
Property4_std,103
Property5_std,102
Component1_Property10,102
Property9_mean,101
Component3_Property4,101
Component2_Property5,100
Property10_min,100
Component3_Property9,100
Component1_Property1,99
Property9_min,98
Component5_Property8,97
Component3_Property2,97
Property3_min,97
Component4_Property9,96
Component4_Property6,96
Component4_Property3,96
Component5_Property3,95
Property4_min,92
Property1_max,92
Component1_Property9,91
Component4_Property1,90
Property8_std,90
Component3_Property10,89
Component3_Property8,89
Property9_max,88
Property6_std,88
Property2_std,87
Component2_Property6,84
Property7_max,83
Property1_std,82
Property1_min,82
Component1_Property4,82
Component5_Property10,82
Component5_Property9,82
Property10_std,81
Property10_mean,80
Property2_mean,78
Component2_Property2,78
Component5_Property2,76
Property9_std,76
Property4_max,75
Property10_max,75
Property6_min,74
Component4_Property2,73
Component2_Property1,71
Component3_Property6,70
Property6_max,70
Property4_mean,69
Component3_Property3,68
Component2_Property4,67
Component1_Property2,63
Property6_mean,61
Property1_mean,61
Component5_Property1,58
Property2_max,49
