feature,importance
Component5_fraction,869
Component4_Property8,862
Component3_Property8,850
Component1_Property8,691
Component2_fraction,590
Component1_fraction,544
Component4_fraction,502
Component5_Property7,413
Property8_mean,411
Component3_fraction,410
Component2_Property9,384
Component1_Property9,296
Component2_Property8,278
Component4_Property7,254
Component5_Property5,241
Component5_Property8,217
Property8_max,197
Component3_Property9,195
Property8_std,162
Property8_min,159
Property9_mean,150
Property7_std,138
Component1_Property7,136
Component5_Property9,129
Property1_min,127
Property9_max,127
Component1_Property4,124
Component1_Property5,119
Property5_max,118
Component4_Property9,116
Property6_min,115
Component5_Property10,112
Property6_mean,112
Property6_std,112
Component3_Property4,107
Component1_Property2,105
Component2_Property10,104
Property10_min,103
Component1_Property10,103
Component3_Property6,99
Component2_Property5,98
Property2_mean,96
Property3_max,95
Component2_Property6,91
Component5_Property4,91
Component2_Property7,90
Property3_std,90
Property4_mean,89
Component5_Property6,89
Component3_Property10,89
Component3_Property5,88
Property2_min,88
Property3_mean,88
Component4_Property2,85
Component5_Property3,83
Property5_std,81
Property1_std,81
Component2_Property2,81
Component2_Property1,81
Property7_max,80
Component1_Property1,80
Property7_mean,78
Property9_min,78
Property10_max,77
Property10_std,76
Property10_mean,76
Property1_mean,75
Component2_Property4,75
Property4_std,75
Property9_std,74
Property1_max,73
Component5_Property2,73
Component4_Property4,72
Component4_Property1,71
Component1_Property6,70
Component4_Property10,69
Property5_min,69
Component4_Property3,69
Component2_Property3,67
Component4_Property6,67
Component5_Property1,67
Component1_Property3,66
Property3_min,65
Component3_Property3,64
Component3_Property1,63
Property7_min,62
Property5_mean,61
Property4_min,60
Property4_max,60
Component3_Property7,60
Property6_max,60
Property2_std,57
Component3_Property2,53
Property2_max,53
Component4_Property5,50
