feature,importance
Component2_Property5,2241
Component3_Property5,1099
Component1_Property5,1087
Property5_min,890
Component2_fraction,745
Property5_std,532
Component3_fraction,434
Property5_max,383
Component1_fraction,314
Property8_max,309
Property5_mean,251
Component4_Property8,192
Component2_Property2,179
Component3_Property3,171
Component5_Property5,169
Component3_Property4,146
Component1_Property8,142
Component1_Property10,141
Component1_Property4,141
Component2_Property6,138
Component3_Property6,135
Component4_fraction,125
Property9_std,118
Component4_Property2,114
Component2_Property3,112
Component2_Property10,108
Component1_Property3,107
Component4_Property5,106
Property4_max,105
Component1_Property1,102
Component3_Property8,101
Component4_Property10,95
Property8_mean,93
Component2_Property7,92
Component3_Property7,91
Property3_max,91
Property4_std,89
Property1_min,83
Component2_Property9,83
Component4_Property3,83
Component4_Property4,82
Component2_Property8,82
Property9_max,82
Property10_min,80
Component4_Property6,79
Property4_min,78
Component4_Property1,77
Component3_Property10,77
Property2_min,76
Component5_Property7,76
Component5_fraction,75
Property8_std,74
Component1_Property6,73
Component2_Property4,72
Component1_Property7,71
Property6_std,71
Component5_Property2,70
Component1_Property2,66
Component4_Property9,65
Property1_max,63
Property6_min,63
Property7_max,62
Component3_Property2,62
Component2_Property1,61
Property6_max,60
Component5_Property9,60
Property10_std,59
Component5_Property8,59
Property9_mean,58
Property3_mean,58
Property10_mean,57
Property3_min,57
Component5_Property10,56
Property10_max,56
Component3_Property1,56
Property3_std,56
Component5_Property6,54
Property6_mean,54
Property7_std,53
Property2_mean,53
Property2_std,53
Component1_Property9,52
Property1_mean,52
Component5_Property3,51
Property7_mean,48
Component4_Property7,45
Component5_Property4,44
Component3_Property9,41
Property8_min,40
Property2_max,40
Property7_min,34
Property4_mean,34
Property9_min,33
Component5_Property1,30
Property1_std,23
